Signal,Method,RMSE,Param
Bumps,Moving average (kNN),0.6972436833207097,3.0
Bumps,Gaussian NW,1.0476590005383901,0.0009765625
Bumps,Moving average (kNN),0.6943027947144957,3.0
Bumps,Gaussian NW,1.0324279360332231,0.0009765625
Bumps,Moving average (kNN),0.7161083411497199,3.0
Bumps,Gaussian NW,1.0459879129588416,0.0009765625
Bumps,Moving average (kNN),0.6809849538161438,3.0
Bumps,Gaussian NW,1.0386845339084896,0.0009765625
Bumps,Moving average (kNN),0.7154418538780183,3.0
Bumps,Gaussian NW,1.0390301556232189,0.0009765625
Bumps,Moving average (kNN),0.7015136011626919,3.0
Bumps,Gaussian NW,1.0324657905721826,0.0009765625
Bumps,Moving average (kNN),0.7028531470305042,3.0
Bumps,Gaussian NW,1.0338015110051504,0.0009765625
Bumps,Moving average (kNN),0.6869566353160992,3.0
Bumps,Gaussian NW,1.0317104733277533,0.0009765625
Bumps,Moving average (kNN),0.6855684900976652,3.0
Bumps,Gaussian NW,1.0300237800038037,0.0009765625
Bumps,Moving average (kNN),0.7038588630014814,3.0
Bumps,Gaussian NW,1.034269365803081,0.0009765625
Bumps,Moving average (kNN),0.7065569886659986,3.0
Bumps,Gaussian NW,1.0365173095381393,0.0009765625
Bumps,Moving average (kNN),0.7154348042331091,3.0
Bumps,Gaussian NW,1.0378126542850319,0.0009765625
Bumps,Moving average (kNN),0.6971963214865509,3.0
Bumps,Gaussian NW,1.0441982556336542,0.0009765625
Bumps,Moving average (kNN),0.7145175852776575,3.0
Bumps,Gaussian NW,1.053162418708732,0.0009765625
Bumps,Moving average (kNN),0.7172265686231581,3.0
Bumps,Gaussian NW,1.0525741482239088,0.0009765625
Bumps,Moving average (kNN),0.7172714668457448,3.0
Bumps,Gaussian NW,1.048325426408717,0.0009765625
Bumps,Moving average (kNN),0.7063175194449849,3.0
Bumps,Gaussian NW,1.0415521178602851,0.0009765625
Bumps,Moving average (kNN),0.6940226529178584,3.0
Bumps,Gaussian NW,1.0331364370919456,0.0009765625
Bumps,Moving average (kNN),0.7020597320763898,3.0
Bumps,Gaussian NW,1.0345318682061413,0.0009765625
Bumps,Moving average (kNN),0.704703492601389,3.0
Bumps,Gaussian NW,1.0481315808308835,0.0009765625
Doppler,Moving average (kNN),0.4984166958552583,5.0
Doppler,Gaussian NW,0.4801491987749125,0.0009765625
Doppler,Moving average (kNN),0.49373932433932705,5.0
Doppler,Gaussian NW,0.4802077368024461,0.0009765625
Doppler,Moving average (kNN),0.48784322552225645,5.0
Doppler,Gaussian NW,0.461678688644009,0.0009765625
Doppler,Moving average (kNN),0.47292572340362776,5.0
Doppler,Gaussian NW,0.46047191411336136,0.0009765625
Doppler,Moving average (kNN),0.5001090192568939,5.0
Doppler,Gaussian NW,0.48275241464811686,0.0009765625
Doppler,Moving average (kNN),0.48910043263976316,5.0
Doppler,Gaussian NW,0.4655477651540972,0.0009765625
Doppler,Moving average (kNN),0.5130803233123695,5.0
Doppler,Gaussian NW,0.4934647839682647,0.0009765625
Doppler,Moving average (kNN),0.5011948248781029,5.0
Doppler,Gaussian NW,0.4807656720744264,0.0009765625
Doppler,Moving average (kNN),0.47214691517367696,5.0
Doppler,Gaussian NW,0.4558980111763621,0.0009765625
Doppler,Moving average (kNN),0.465240836011449,5.0
Doppler,Gaussian NW,0.4445551146866615,0.0009765625
Doppler,Moving average (kNN),0.4788464524131722,5.0
Doppler,Gaussian NW,0.45642131543697845,0.0009765625
Doppler,Moving average (kNN),0.5013126504954568,5.0
Doppler,Gaussian NW,0.4729528770311617,0.0009765625
Doppler,Moving average (kNN),0.4901240664623289,5.0
Doppler,Gaussian NW,0.4679624219184865,0.0009765625
Doppler,Moving average (kNN),0.48071493659465775,5.0
Doppler,Gaussian NW,0.45850872910987955,0.0009765625
Doppler,Moving average (kNN),0.48045370775536944,5.0
Doppler,Gaussian NW,0.4584621114163079,0.0009765625
Doppler,Moving average (kNN),0.46193403127565424,5.0
Doppler,Gaussian NW,0.44361244431003016,0.0009765625
Doppler,Moving average (kNN),0.49138736527722593,5.0
Doppler,Gaussian NW,0.46595233175754946,0.0009765625
Doppler,Moving average (kNN),0.47624292634798115,5.0
Doppler,Gaussian NW,0.45891359053016756,0.0009765625
Doppler,Moving average (kNN),0.4761201718888209,5.0
Doppler,Gaussian NW,0.4534326085947565,0.0009765625
Doppler,Moving average (kNN),0.48642038570004026,5.0
Doppler,Gaussian NW,0.467385884500062,0.0009765625
